Location,X,Y
Kilbogget Park,53.25709781,-6.13909364
Kilbogget Park,53.256674200000006,-6.14013433
Kilbogget Park,53.25659718,-6.1381495
Kilbogget Park,53.25623775,-6.13876104
Kilbogget Park,53.25605162,-6.13971591
Kilbogget Park,53.25566651,-6.14180535
Kilbogget Park,53.25857719,-6.14245445
Kilbogget Park,53.25967787,-6.14394039
Kilbogget Park,53.26050256,-6.14033014
Kilbogget Park,53.25988324,-6.1420092
Kilbogget Park,53.258400699999996,-6.13846868
Kilbogget Park,53.26029719,-6.14451438
Kilbogget Park,53.25437638,-6.13893002
Kilbogget Park,53.25368637,-6.13821656
Kilbogget Park,53.25181525,-6.13465995
Kilbogget Park,53.25253097,-6.13614053
Kilbogget Park,53.25279094,-6.13725632
Shanganagh Park,53.22484031,-6.11720145
Shanganagh Park,53.22447419,-6.11805439
Shanganagh Park,53.22417551,-6.11886978
Shanganagh Park,53.22292939,-6.12123549
Shanganagh Park,53.22336618,-6.11990511
Shanganagh Park,53.22319917,-6.11767352
Shanganagh Cliffs,53.24146007,-6.11370116
Shanganagh Cliffs,53.24048412,-6.11324519
Shanganagh Castle,,
Rockfield Park(NTPL),53.29586578,-6.17649704
Rockfield Park(NTPL),53.29517323,-6.17667943
Rockfield Park(NTPL),53.29586258,-6.17427617
Dunedin (jun),53.28703173,-6.15227669
Soldiers & Sailors,53.28572971,-6.1583358
Meadowvale,53.27550463,-6.16045743
Meadowvale,53.27467061,-6.15985125
Meadowvale,53.27402744,-6.15923837
Meadowvale,53.27320461,-6.15801662
Holly Park,53.28258515,-6.17212906
Holly Park,53.28188437,-6.17125735
Sallynoggin,53.27554954,-6.14929408
Sallynoggin,53.27349012,-6.14641875
Sallynoggin,53.27362806,-6.14487916
Sallynoggin,53.275533499999995,-6.14674062
Sallynoggin,53.27492082,-6.14471555
Sallynoggin,53.27306026,-6.14417374
Sallynoggin,53.27277154,-6.14383042
Sallynoggin,53.27254057,-6.14350855
Sallynoggin,53.27241225,-6.14477187
Sallynoggin,53.27416377,-6.144541200000001
Sallynoggin,53.27396809,-6.14432126
Sallynoggin,53.27379166,-6.14410669
Hyde Park,53.28024221,-6.11062199
Hyde Park,53.28018127,-6.11247808
Hyde Park,53.28016844,-6.10963494
Hundson Road,53.28495362,-6.12187922
Thomastown Road,53.27065745,-6.13670915
Thomastown Road,53.27142097,-6.13538414
Loughlinstown Park,53.244175899999995,-6.1253956
Loughlinstown Park,53.24354671,-6.12573892
Mount Albany,53.28626528,-6.17332131
